,Codice Regione,Denominazione in italiano,Denominazione regione,Sigla automobilistica,Codice Comune formato numerico,lat,lon
0,4,Aldino,Trentino-Alto Adige/Südtirol,BZ,21001,46.3680995,11.3541395
1,4,Andriano,Trentino-Alto Adige/Südtirol,BZ,21002,46.5176161,11.231373
2,4,Anterivo,Trentino-Alto Adige/Südtirol,BZ,21003,46.2797467,11.3679610645714
3,4,Appiano sulla strada del vino,Trentino-Alto Adige/Südtirol,BZ,21004,46.4553328,11.2590488
4,4,Avelengo,Trentino-Alto Adige/Südtirol,BZ,21005,46.644615,11.224384
5,4,Badia,Trentino-Alto Adige/Südtirol,BZ,21006,46.610124,11.893487
6,4,Barbiano,Trentino-Alto Adige/Südtirol,BZ,21007,46.6037772,11.5211386
7,4,Bolzano,Trentino-Alto Adige/Südtirol,BZ,21008,46.4981125,11.3547801
8,4,Braies,Trentino-Alto Adige/Südtirol,BZ,21009,46.68862505,12.1037565192682
9,4,Brennero,Trentino-Alto Adige/Südtirol,BZ,21010,47.0037797,11.5045574
10,4,Bressanone,Trentino-Alto Adige/Südtirol,BZ,21011,46.7158647,11.6568621
11,4,Bronzolo,Trentino-Alto Adige/Südtirol,BZ,21012,46.4045086,11.3196672
12,4,Brunico,Trentino-Alto Adige/Südtirol,BZ,21013,46.7963194,11.9355121
13,4,Caines,Trentino-Alto Adige/Südtirol,BZ,21014,46.6994802,11.1694866
14,4,Caldaro sulla strada del vino,Trentino-Alto Adige/Südtirol,BZ,21015,46.4132594,11.2462025
15,4,Campo di Trens,Trentino-Alto Adige/Südtirol,BZ,21016,46.8751215,11.4867683
16,4,Campo Tures,Trentino-Alto Adige/Südtirol,BZ,21017,46.9192363,11.9551824
17,4,Castelbello-Ciardes,Trentino-Alto Adige/Südtirol,BZ,21018,46.6221611,10.9239985503475
18,4,Castelrotto,Trentino-Alto Adige/Südtirol,BZ,21019,46.54753885,11.608297115542
19,4,Cermes,Trentino-Alto Adige/Südtirol,BZ,21020,46.6346188,11.146564
