,Unnamed: 0,Unnamed: 0.1,Audioguida,Circoscrizione,Comune,Descrizione,Descrizione breve,Email,Evento della vita,Fonte,Galleria immagini,Immagine,Impianto gestito da,Indirizzo,Indirizzo web,Informazioni,Leggi le informazioni dettagliate,Nominativo contatto,Riferimento,Scheda,Tags,Telefono,Tipologia di luogo,Titolo,Video,address,lat,lon,modified,published,remoteId,Province,Street,Number,CAP,Type,Tipologia di luogo en
0,0,0,,,Vigo Rendena,È stata realizzata nel 1850 in granito e presenta un’originale colonna a torciglioni.,Si trova vicino la strada che porta in Val San Valentino. ,,,,,,,,,,,,,,,,Punto di interesse,"Fontana dai ""Baltram"" ",,,46.076723,10.723647999999999,2015-02-18T15:12:57+01:00,2015-02-18T15:11:56+01:00,01eb7e09e8635464f50aecacb13eae87,TN,,,,PointOfInterest,Point of interest
1,1,1,,,Vigo Rendena,"È una croce in ferro, d’antica fattura, che nel 1867 fu spostata nell’attuale posizione che rappresentava il punto Est dell’antico percorso delle Rogazioni (preghiere, atti di penitenza e processioni propiziatorie sulla buona riuscita delle seminagioni, sospese dopo il Concilio Vaticano II).",Si trova in piazza Centrale a Vigo. ,,,,,,,,,,,,,,,,Luogo Religioso,,,,46.079055,10.719847999999999,2015-02-18T15:38:33+01:00,2015-02-18T15:38:33+01:00,b3152948293820d9cb731bfebea8a7db,TN,,,,PointOfInterest,Religious Place
2,2,2,,,Vigo Rendena,"Fino al 1878 la statua si trovava nella chiesta parrocchiale. Sul fronte del capitello vi è un’iscrizione che invita i passanti a pregare, mentre sui lati sono raffigurati i santi Antonio Abate e Lorenzo Martire.","L’antico capitello custodisce la statua della “Madonna vestida”, chiamata così per gli abiti che indossa. ",,,,,,,,,,,,,,,,Luogo Religioso,Capitello della Madonna del Rosario ,,vigo rendena ,46.079083000000004,10.721332,2015-02-18T15:39:23+01:00,2015-02-18T15:39:23+01:00,5fa18f9ba0dca472b581d05291529907,TN,,,,PointOfInterest,Religious Place
3,3,3,,,Vigo Rendena,"Questo luogo, che riproduce con fedeltà la grotta di Lourdes, custodisce le statue lignee della Madonna e di Santa Benedetta.","Situata in località Fisarol, la grotta è stata realizzata nel 1959 dal parroco don Rinaldo Binelli, con il contributo della popolazione di Vigo e Darè, per prestare fede ad un voto fatto dalla comunità per essere risparmiata dagli orrori della guerra. ",,,,,,,,,,,,,,,,Luogo Religioso,Grotta di Lourdes ,,,46.079372,10.72412,2015-02-18T15:40:16+01:00,2015-02-18T15:40:16+01:00,207779fcddbe8ff24656751b37c9b6b2,TN,,,,PointOfInterest,Religious Place
4,4,4,,,Vigo Rendena,"L’entrata principale è protetta da un portico di impronta neoromanica, con quattro colonne in marmo rosa disposte su zoccoli pronunciati. Di notevole fattura sono le opere in rame sbalzato che rivestono le porte laterali e raffigurano San Rocco e San Paolo, sul portale sud, e San Lorenzo e San Vigilio, sul portale nord. Il campanile, del 1400, si erge staccato dall’edificio e termina con cupola arrotondata. L’interno è ad una sola navata, con sei grandi finestre laterali in stile neoromanico e rosone centrale. L’altare maggiore è rivestito di marmo bianco con specchi in marmo rosso e dietro vi sono tre grandi affreschi che descrivono la vita di San Lorenzo.","Sorta su un’antica cappella del XII secolo, è documentata nel secolo XIV e riedificata nella seconda metà del 1800.",,,,,,,,,,,,,,,,Chiesa,La Chiesa di San Lorenzo ,,,46.077214,10.717507000000001,2015-02-18T14:42:33+01:00,2015-02-18T14:42:33+01:00,e881f21b0ba635e0e9cc82aeed5fee84,TN,,,,PointOfInterest,Church
5,5,5,,,Vigo Rendena,,"L’antico capitello custodisce la statua della “Madonna vestida”, chiamata così per gli abiti che indossa. Fino al 1878 la statua si trovava nella chiesta parrocchiale. Sul fronte del capitello vi è un’iscrizione che invita i passanti a pregare, mentre sui lati sono raffigurati i santi Antonio Abate e Lorenzo Martire.",,,,,,,,,,,,,,,,Punto di interesse,Capitello della Madonna del Rosario,,"46.082539, 10.721930",46.082499,10.721894,2015-02-18T15:10:05+01:00,2015-02-18T14:50:11+01:00,dd1167205ab77dc1d6c6f4ed41501b67,TN,,,,PointOfInterest,Point of interest
6,6,6,,,Vigo Rendena,"L’attuale edificio è il rifacimento di un’antica cappella realizzata per la protezione degli animali dagli abitanti delle comunità di Vigo, Darè e Villa. L’edificio presenta un piccolo campanile che accoglie la campana più antica delle Giudicarie e che risale agli inizi del 1400. L’intero presenta numerosi affreschi eseguiti da Simone Baschenis e raffigurano Santi ed Evangelisti.","Eretta alla fine del XIV secolo, la chiesetta è intitolata a San Valentino, martire al tempo dell’imperatore Claudio. ",,,,,,,,,,,,,,,,Chiesa,Chiesetta di San Valentino ,,,46.079561,10.722594,2015-02-18T15:11:09+01:00,2015-02-18T15:11:09+01:00,0ffc86c2c9beb56b13d9e8e92b92daf6,TN,,,,PointOfInterest,Church
7,7,0,,,Grauno,"La Chiesa venne consacrata il 27 agosto 1878 da Monsignor Giovanni Haller, coadiutore del Vescovo Benedetto Riccabona. L’interno venne decorato a fresco dal pittore Matielli. Nella Cappella di sinistra è collocato l’altare ligneo Barocco, con pala della Madonna del Carmelo e Santi, che venne scolpito da Giovanni e Giorgio Graber di Sover .
 
Il 30 agosto 1932 furono piantati nel sagrato antistante alla Chiesa due cipressi per opera del Cappuccino Padre Atanasio Cristofori, cipressi che ora sono stati tagliati a causa dei recenti lavori di restauro esterno della Chiesa stessa. Padre Atanasio Cristofori, illustre personaggio, nacque a Grauno, il 24 luglio 1885 e morì a Rovereto il giorno 11 giugno 1961. E’ ricordato come ricercato predicatore ed erborista, autore della semplice e preziosa opera: “Le erbe medicinali di Padre Atanasio” giunta ormai alla sua quinta edizione.Grauno è detto localmente “Graun”; il nome figura già in documenti tedeschi del 1300 nella forma “Kraun” e “Graun”. Probabilmente deriva dal latino corona, come forma contratta, oppure da grava, “mucchio di sassi e ghiaia”, gravone in valore accrescitivo.",,,,,,/var/grauno/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/la-chiesa-parrocchiale-di-grauno/14280-1-ita-IT/La-chiesa-parrocchiale-di-Grauno.jpg,,,,,,,,,,,Chiesa,La chiesa parrocchiale di Grauno ,,"grauno, via san martino 17",46.230888,11.298214999999999,2014-11-12T16:13:30+01:00,2014-11-12T16:05:33+01:00,0f26624ff236f96019f426e43a2cebd6,TN,via san martino,17,,PointOfInterest,Church
8,9,0,,,Villa Agnedo,"Già poco dopo la chiusura dell’attività paterna i locali della fusina sono stati trasformati dal proprietario in una esposizione permanente di strumenti di lavoro e dei principali utensili prodotti dall’antica manifattura che, dall’anno 2000, dispone anche di un coinciso memorandum riportante brevi notizie e ricordi orali tramandati di generazione in generazione.l'esposizione permanente, acura della famibglia Zanghellini, di strumenti di lavoro e dei principali utensili prodotti dall'antica manifattura.Pubblicazioni: L'antica fusina Zanghellini nella villa d'Agnedo (Franco Gioppi Massimo LIbardi)L'Officina Zanghellini è inserita nella rete di nusei diffusi ""etnografici"" gestita dal Museo di San Michele all'Adige","Nell'abitato di Agnedo, in Via dei Molini, vi è l'Antica Fusina Zanghellini.",,,,,/var/villaagnedo/storage/images/territorio/cosa-puoi-visitare/antica-fusina-zanghellini/12372-2-ita-IT/Antica-Fusina-Zanghellini.jpg,,,,,,,,,,,Punto di interesse,Antica Fusina Zanghellini,,villa agnedo tn,46.052954,11.528233,2015-02-11T15:06:03+01:00,2014-05-20T17:15:42+02:00,ee5f87979fb68822f0a1bbae6ec194d6,TN,,,,PointOfInterest,Point of interest
10,12,2,,,Roncone,,"Per arrivarci bisogna percorrere un tratto di Val di Breguzzo. Dal punto in cui si lascia la macchina si deve percorrere un'oretta a piedi. Ma la fatica verrà ampiamente ricompensata. La malga, infatti, è immersa in un incantevole paesaggio di conifere ed è attraente dal punto di vista architettonico con la sua struttura in legno.",,,,,,,,,,,,,,,,Malga,Malga Maggiasone,,Roncone,45.984953999999995,10.670564,2016-05-23T08:20:20+02:00,2014-06-25T15:17:34+02:00,8d5e4d3a5b544b6940b86558cb7b779a,TN,,,,PointOfInterest,Malga
