"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
21.0,0,0,0,0,0,0,1,20150621,20150830
23.0,1,1,1,1,0,0,0,20150622,20150903
24.0,0,0,0,0,0,1,0,20150627,20150905
46.0,0,0,0,0,1,0,0,20150626,20150904
1.201909122020061E16,1,1,1,1,1,1,1,20190912,20200610
2.2019091220191116E16,1,1,1,1,1,1,0,20190912,20191117
2.2019091220200608E16,1,1,1,1,1,1,0,20190912,20200610
2.2019100720200608E16,1,1,1,1,1,1,0,20191007,20200610
2.2019111820200608E16,1,1,1,1,1,1,0,20191118,20200610
3.2019091220200608E16,1,1,1,1,1,1,0,20190912,20200610
5.2019091220200608E16,0,0,0,0,0,0,1,20190912,20200610
9.2019091220200608E16,1,1,1,1,1,0,0,20190912,20200610
9.2019092020200608E16,1,1,1,1,1,0,0,20190920,20200610
1.0201909122019112E17,1,1,1,1,1,0,0,20190912,20191117
1.02019091220200608E17,1,1,1,1,1,0,0,20190912,20200610
1.02019111820200608E17,1,1,1,1,1,0,0,20191118,20200610
2.52019091220200608E17,0,0,0,0,0,1,0,20190912,20200610
5.920190912201911E17,1,1,1,1,1,1,0,20190912,20191117
5.9201909122020058E17,1,1,1,1,1,1,0,20190912,20200610
5.9201911182020058E17,1,1,1,1,1,1,0,20191118,20200610
6.020190912201911E17,1,1,1,1,1,1,0,20190912,20191117
6.0201909122020058E17,1,1,1,1,1,1,0,20190912,20200610
6.0201911182020058E17,1,1,1,1,1,1,0,20191118,20200610
6.2201909122020058E17,0,0,0,0,0,0,1,20190912,20200610
6.620190912201911E17,1,1,1,1,1,0,0,20190912,20191117
6.6201909122020058E17,1,1,1,1,1,0,0,20190912,20200610
6.6201909172020058E17,1,1,1,1,1,0,0,20190917,20200610
6.6201911182020058E17,1,1,1,1,1,0,0,20191118,20200610
6.720190912201911E17,1,1,1,1,1,0,0,20190912,20191117
6.7201909122020058E17,1,1,1,1,1,0,0,20190912,20200610
6.7201911182020058E17,1,1,1,1,1,0,0,20191118,20200610
6.8201909122020058E17,1,1,1,1,0,0,0,20190912,20200610
6.9201909122020058E17,0,0,0,0,1,0,0,20190912,20200610
7.7201909122020058E17,0,0,0,0,0,1,0,20190912,20200610
8.220190912201911E17,0,0,0,0,0,1,0,20190912,20191117
8.2201909122020058E17,0,0,0,0,0,1,0,20190912,20200610
1.09201909122020058E18,1,1,1,1,1,1,0,20190912,20200610
1.2019091220191214E16,1,1,1,1,1,1,1,20190912,20191214
1.2019091220200626E16,1,1,1,1,1,1,1,20190912,20200626
1.2019100820200626E16,1,1,1,1,1,1,1,20191008,20200626
1.2019102820200626E16,1,1,1,1,1,1,1,20191028,20200626
1.2019121420200626E16,1,1,1,1,1,1,1,20191214,20200626
1.2019121520200626E16,1,1,1,1,1,1,1,20191215,20200626
2.2019091220191216E16,1,1,1,1,1,1,0,20190912,20191214
2.2019091220200624E16,1,1,1,1,1,1,0,20190912,20200626
2.2019091320200624E16,1,1,1,1,1,1,0,20190913,20200626
2.2019092020200624E16,1,1,1,1,1,1,0,20190920,20200626
2.2019092120200624E16,1,1,1,1,1,1,0,20190921,20200626
2.2019092820200624E16,1,1,1,1,1,1,0,20190928,20200626
2.2019100820200624E16,1,1,1,1,1,1,0,20191008,20200626
2.2019101420200624E16,1,1,1,1,1,1,0,20191014,20200626
2.2019101920200624E16,1,1,1,1,1,1,0,20191019,20200626
