"agency_id","route_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
101,1,"1 ME","1",3,,
101,1001,"1 BZ","1",3,,
101,1003,"3 BZ","3",3,,
101,1005,"5 BZ","5",3,,
101,1006,"6 BZ","6",3,,
101,1008,"8 BZ","8",3,,
101,1009,"9 BZ","9",3,,
101,1011,"11 BZ","11",3,,
101,1012,"12 BZ","12",3,,
101,1014,"14 BZ","14",3,,
101,1071,"7A BZ","7A",3,,
101,1072,"7B BZ","7B",3,,
101,110,"110 BZ","110",3,,
101,1101,"10A BZ","10A",3,,
101,1102,"10B BZ","10B",3,,
101,111,"111 BZ","111",3,,
101,112,"112 BZ","112",3,,
101,1153,"153 BZ","153",3,,
101,116,"116 BZ","116",3,,
101,117,"117 BZ","117",3,,
101,146,"146 ME","146",3,,
101,183,"183 BZ","183",3,,
101,2,"2 ME","2",3,,
101,201,"201 BZ","201",3,,
101,202,"202 BZ","202",3,,
101,211,"211 ME","211",3,,
101,212,"212 ME","212",3,,
101,213,"213 ME","213",3,,
101,214,"214 ME","214",3,,
101,215,"215 ME","215",3,,
101,221,"221 ME","221",3,,
101,222,"222 ME","222",3,,
101,223,"223 ME","223",3,,
101,224,"224 ME","224",3,,
101,225,"225 ME","225",3,,
101,248,"248 BZ","248",3,,
101,3,"3 ME","3",3,,
101,4,"4 ME","4",3,,
101,5000,"NIGHTS","999",3,,
101,6,"6 ME","6",3,,
12,1,"B101","Cavalese-Predazzo-Moena-Canazei-Penia",3,,
12,3,"B102","Trento -  Cembra - Capriana - Cavalese",3,,
12,55,"B104","Trento-S.Michele a/A-Salorno-Egna-Ora-Cavalese",3,,
12,63,"B121","Montesover - Sover",3,,
12,65,"B109","Cavalese - Masi di Cavalese",3,,
12,67,"B111","Cavalese - Carano - Villaggio Veronza",3,,
12,69,"B402","Trento - Nogarè - Baselga di Pinè -Montesover",3,,
12,71,"B201","Trento-Vezzano-Sarche-Tione",3,,
12,73,"B216","Tione-Bolbeno-Ragoli-Montagne",3,,
12,76,"B202","Trento-Sardagna-Candriai-Vaneze-Vason-Viote",3,,
12,78,"B203","Vezzano-Ciago-Ranzo-Margone",3,,
12,80,"B206","Trento-Cadine-Candriai-Sopramonte-Terlago-MTerlago",3,,
12,84,"B429","Centrale - Regnana",3,,
12,86,"B408","Borgo Valsugana - Olle",3,,
12,90,"B415","Levico Terme - Barco - S.Giuliana - Lochere",3,,
12,92,"B431","Baselga di Pinè - S.Mauro",3,,
12,94,"B413","Brusago-Valcava",3,,
12,96,"B428","Bedollo-Svaldi",3,,
12,98,"B410","Borgo Valsugana - Tezze - Primolano",3,,
12,102,"B501","S.Martino di Castrozza-Fiera di Primiero-Feltre",3,,
12,106,"B504","Canal S.Bovo - Ronco Fosse - Ronco Chiesa",3,,
12,108,"B512","Borgo Valsugana-Arten-Feltre",3,,
12,110,"B301","Trento-Besenello-Calliano-Rovereto",3,,
12,112,"B503","Fiera di Primiero-Passo Cereda-Mis-Sagron",3,,
12,116,"B506","Fiera di Primiero-Imer-Canal S.Bovo-Caoria",3,,
12,117,"B112","Cavalese - Daiano - Varena",3,,
12,120,"B103","Trento - Civezzano - Sover - Cavalese",3,,
12,123,"B514","(Borgo) Arten-Fiera di P.-S.Martino di Castrozza",3,,
12,130,"B122","Predazzo-P.sso Rolle-Fiera di P.",3,,
12,132,"B409","Borgo Valsugana -Roncegno Terme -Ronchi",3,,
12,134,"B205","Trento-Vezzano-Sarche-Dro-Arco-Riva",3,,
12,136,"B113","Cavalese - Daiano - Carano - Tesero - Cavalese",3,,
12,138,"B404","Baselga di Pinè - Faida  - Montagnaga",3,,
12,151,"B116","Trento - Civezzano - S.Agnese - Bosco",3,,
12,155,"B210","Ponte Arche-S.Croce-Cavrasto-Bivedo",3,,
12,157,"B215","Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro",3,,
12,159,"B209","Ponte Arche-Lundo",3,,
12,161,"B208","Ponte Arche-S.Lorenzo in B.-Molveno",3,,
12,164,"B213","Pieve di Bono-Castel Condino-Por",3,,
12,167,"B212","Pieve di Bono-Praso-Daone",3,,
12,169,"B406","Borgo Valsugana -Carzano -Strigno -Samone",3,,
12,171,"B214","Riva-Pregasina-Bezzecca-Storo-Pieve di Bono",3,,
12,175,"B204","Trento-Vigo Cavedine-Riva del Garda",3,,
12,177,"B418","Pergine-Kamauz-Frassilongo-S.Felice F.-Hacleri",3,,
12,179,"B417","Pergine -Canezza -Viarago -S.Orsola -Palù",3,,
12,181,"B302","Trento -Ravina -Mattarello -Aldeno -Garniga Terme",3,,
12,184,"B407","Borgo Valsugana - Telve - Torcegno",3,,
12,186,"B303","Trento-V.Vattaro-Centa-Carbonare-Lavarone-Luserna",3,,
12,188,"B423","Pergine Vals.-Ischia-Tenna-Levico Terme",3,,
12,190,"B316","Rovereto-Trambileno-Vanza-Pozzacchio",3,,
12,194,"B311","Rovereto-Villa-Nomi-Aldeno",3,,
12,196,"B306","Rovereto-Calliano-Folgaria-Lavarone",3,,
12,198,"B315","Rovereto-Terragnolo-Serrada-Folgaria",3,,
12,200,"B307","Rovereto-Mori-Chizzola-Cornè-Ala-Avio",3,,
12,203,"B314","Rovereto-Riva-Obra di Vallarsa-Ometto",3,,
12,215,"B312","Rovereto-Pozzacchio-Parrocchia V.-Pian d. Fugazze",3,,
12,220,"B310","Rovereto-Mori-S.Felice-Ronzo Chienis",3,,
12,227,"B507","Caoria-Canal S.Bovo-Feltre",3,,
12,229,"B230","Trento-Ciago-Monte Terlago-Ranzo-Margone",3,,
12,231,"B305","Rovereto-Mori-Brentonico-Saccone",3,,
12,233,"B319","Besagno-Crosano-Cornè-Saccone",3,,
12,235,"B318","Valle S.Felice-Manzano-Nomesino",3,,
12,300,"B115","Pergine - Civezzano",3,,
12,309,"B425","Pergine Vals.-Masetti-Assizzi-Vignola-Falesina",3,,
12,311,"B511","Siror - Fiera di Primiero - Imer - Masi Imer",3,,
12,316,"B123","Moena-Passo  S.Pellegrino-Falcade",3,,
12,320,"B217","Tione - Tione Ospedale Civile",3,,
12,322,"B218","Vigo Cavedine - Masi di Vigo Cavedine",3,,
12,324,"B640","Malè - Rabbi Bagni - Somrabbi",3,,
12,326,"B642","Malè - Folgarida - Madonna di Campiglio",3,,
12,328,"B644","Pellizzano - Menas",3,,
12,330,"B641","Malè - Bolentina",3,,
12,332,"B646","Malè -Mezzana -Fucine -Vermiglio -Passo Tonale",3,,
12,334,"B643","Malè - Mezzana - Marilleva 1400",3,,
12,336,"B645","Malè -Mezzana -Fucine -Cogolo -Peio",3,,
12,340,"B107","Mezzolombardo - Roverè della Luna",3,,
12,343,"B106","Mezzocorona Ferrovia - S.Michele - Faedo Pineta",3,,
12,345,"B611","Trento-Mezzocorona-Fai d/Paganella-Andalo-Molveno",3,,
12,354,"B624","Cles - Mechel",3,,
12,357,"B634","Cles - Livo - Lanza di Rumo",3,,
12,362,"B635","Livo - Baselga - Bresimo",3,,
12,364,"B632","Cles - Revò - Castelfondo - Fondo",3,,
12,366,"B620","Mezzolombardo-Campodenno-Denno-Cles",3,,
12,368,"B627","Cles - Dermulo - Coredo - Smarano - Sfruz",3,,
