FRT_FID	TEQ_NUMMER
1	23100100004
2	23100100002
3	23100100058
4	23100100006
5	23100100060
6	23100100008
7	23100100062
8	23100100010
9	23100100066
10	23100100064
11	23100100012
12	23100100068
13	23100100014
14	23100100016
15	23100100070
16	23100100030
17	23100100084
18	23100100028
19	23100100032
20	23100100086
21	23100100034
22	23100100088
23	23100100036
24	23100100090
25	23100100038
26	23100100092
27	23100100018
28	23100100020
29	23100100074
30	23100100072
31	23100100078
32	23100100026
33	23100100076
34	23100100022
35	23100100024
36	23100100080
37	23100100082
38	23100100040
39	23100100094
40	23100100042
41	23100100096
42	23100100044
43	23100100098
44	23100100046
45	23100100100
46	23100100048
47	23100100102
48	23100100050
49	23100100104
50	23100100052
51	23100100106
52	23100100054
53	23100100108
54	23100100110
55	24100100004
56	24100100002
57	24100100058
58	24100100006
59	24100100060
60	24100100008
61	24100100062
62	24100100010
63	24100100066
64	24100100064
65	24100100012
66	24100100068
67	24100100014
68	24100100016
69	24100100070
70	24100100030
71	24100100084
72	24100100028
73	24100100032
74	24100100086
75	24100100034
76	24100100088
77	24100100036
78	24100100090
79	24100100038
80	24100100092
81	24100100018
82	24100100020
83	24100100074
84	24100100072
85	24100100078
86	24100100026
87	24100100076
88	24100100022
89	24100100024
90	24100100080
91	24100100082
92	24100100040
93	24100100094
94	24100100042
95	24100100096
96	24100100044
97	24100100098
98	24100100046
99	24100100100
100	24100100048
101	24100100102
102	24100100050
103	24100100104
104	24100100052
105	24100100106
106	24100100054
107	24100100108
108	24100100110
109	46100100042
110	46100100096
111	46100100044
112	46100100104
113	46100100052
114	46100100106
115	46100100054
116	46100100108
117	46100100110
118	46100100098
119	46100100046
120	46100100100
121	46100100048
122	46100100102
123	46100100050
124	46100100004
125	46100100002
126	46100100058
127	46100100006
128	46100100060
129	46100100008
130	46100100062
131	46100100010
132	46100100066
133	46100100064
134	46100100012
135	46100100068
136	46100100014
137	46100100016
138	46100100070
139	46100100030
140	46100100084
141	46100100028
142	46100100032
143	46100100086
144	46100100034
145	46100100088
146	46100100036
147	46100100090
148	46100100038
149	46100100092
150	46100100018
151	46100100020
152	46100100074
153	46100100072
154	46100100078
155	46100100026
156	46100100076
157	46100100022
158	46100100024
159	46100100080
160	46100100082
161	46100100040
162	46100100094
163	23100100009
164	23100100089
165	23100100073
166	23100100027
167	23100100041
168	23100100101
169	23100100039
170	23100100043
171	23100100049
172	23100100107
173	23100100097
174	23100100045
175	23100100103
176	23100100055
177	23100100051
178	23100100099
179	23100100105
180	23100100047
181	23100100111
182	23100100053
183	23100100095
184	23100100093
185	23100100109
186	23100100015
187	23100100069
188	23100100005
189	23100100063
190	23100100059
191	23100100003
192	23100100061
193	23100100011
194	23100100013
195	23100100067
196	23100100007
197	23100100065
198	23100100017
199	23100100019
200	23100100071
201	23100100037
202	23100100091
203	23100100023
204	23100100085
205	23100100033
206	23100100087
207	23100100035
208	23100100081
209	23100100029
210	23100100025
211	23100100021
212	23100100075
213	23100100079
214	23100100083
215	23100100077
216	23100100031
217	24100100009
218	24100100089
219	24100100073
220	24100100027
221	24100100041
222	24100100101
223	24100100039
224	24100100043
225	24100100049
226	24100100107
227	24100100097
228	24100100045
229	24100100103
230	24100100055
231	24100100051
232	24100100099
233	24100100105
234	24100100047
235	24100100111
236	24100100053
237	24100100095
238	24100100093
239	24100100109
240	24100100015
241	24100100069
242	24100100005
243	24100100063
244	24100100059
245	24100100003
246	24100100061
247	24100100011
248	24100100013
249	24100100067
250	24100100007
251	24100100065
252	24100100017
253	24100100019
254	24100100071
255	24100100037
256	24100100091
257	24100100023
258	24100100085
259	24100100033
260	24100100087
261	24100100035
262	24100100081
263	24100100029
264	24100100025
265	24100100021
266	24100100075
267	24100100079
268	24100100083
269	24100100077
270	24100100031
271	46100100073
272	46100100027
273	46100100041
274	46100100009
275	46100100089
276	46100100101
277	46100100039
278	46100100043
279	46100100049
280	46100100107
281	46100100097
282	46100100045
283	46100100103
284	46100100055
285	46100100111
286	46100100053
287	46100100095
288	46100100093
289	46100100051
290	46100100099
291	46100100105
292	46100100047
293	46100100109
294	46100100015
295	46100100069
296	46100100005
297	46100100063
298	46100100059
299	46100100003
300	46100100061
301	46100100011
302	46100100013
303	46100100067
304	46100100007
305	46100100065
306	46100100017
307	46100100019
308	46100100071
309	46100100037
310	46100100091
311	46100100023
312	46100100085
313	46100100033
314	46100100087
315	46100100035
316	46100100081
317	46100100029
318	46100100025
319	46100100021
320	46100100075
321	46100100079
322	46100100083
323	46100100077
324	46100100031
325	23110100046
326	23110100026
327	23110100045
328	23110100061
329	23110100020
331	23110100005
332	23110100021
333	23110100003
334	23110100019
335	23110100062
336	23110100027
337	23110100047
338	23110100068
339	23110100006
340	23110100028
341	23110100048
342	23110100069
343	23110100007
344	23110100029
345	23110100049
346	23110100070
347	23110100008
348	23110100030
349	23110100050
350	23110100071
351	23110100009
352	23110100031
353	23110100051
354	23110100072
355	23110100010
356	23110100032
357	23110100052
358	23110100073
359	23110100011
360	23110100033
361	23110100053
362	23110100074
363	23110100012
364	23110100034
365	23110100054
366	23110100075
367	23110100013
368	23110100035
369	23110100055
370	23110100076
371	23110100014
372	23110100036
373	23110100056
374	23110100077
375	23110100015
376	23110100037
377	23110100057
378	23110100078
379	23110100016
380	23110100038
381	23110100058
382	23110100079
383	23110100017
384	23110100039
385	23110100059
386	23110100080
387	23110100018
388	23110100040
389	23110100060
390	23110100081
391	23110100067
392	24110100016
393	24110100007
394	24110100040
395	24110100034
396	24110100056
397	24110100042
398	24110100049
399	24110100054
400	24110100061
401	24110100060
402	24110100030
403	24110100058
404	24110100063
405	24110100018
406	24110100048
407	24110100003
408	24110100053
409	24110100023
410	24110100038
411	24110100015
413	24110100017
414	24110100051
415	24110100011
416	24110100029
417	24110100041
418	24110100010
419	24110100009
420	24110100047
421	24110100037
422	24110100031
423	24110100012
424	24110100025
425	24110100055
426	24110100032
427	24110100057
428	24110100052
429	24110100027
430	24110100039
431	24110100004
432	24110100006
433	24110100028
434	24110100014
435	24110100036
