service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012019091220191214,1,1,1,1,1,1,1,20190912,20191214
0000000012019091220200626,1,1,1,1,1,1,1,20190912,20200626
0000000012019100820200626,1,1,1,1,1,1,1,20191008,20200626
0000000012019102820200626,1,1,1,1,1,1,1,20191028,20200626
0000000012019121420200626,1,1,1,1,1,1,1,20191214,20200626
0000000012019121520200626,1,1,1,1,1,1,1,20191215,20200626
0000000022019091220191214,1,1,1,1,1,1,0,20190912,20191214
0000000022019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000022019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000022019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000022019092120200626,1,1,1,1,1,1,0,20190921,20200626
0000000022019092820200626,1,1,1,1,1,1,0,20190928,20200626
0000000022019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000022019101420200626,1,1,1,1,1,1,0,20191014,20200626
0000000022019101920200626,1,1,1,1,1,1,0,20191019,20200626
0000000022019102220200626,1,1,1,1,1,1,0,20191022,20200626
0000000022019102420200626,1,1,1,1,1,1,0,20191024,20200626
0000000022019102820200626,1,1,1,1,1,1,0,20191028,20200626
0000000022019103020200626,1,1,1,1,1,1,0,20191030,20200626
0000000022019111120200626,1,1,1,1,1,1,0,20191111,20200626
0000000022019111220200626,1,1,1,1,1,1,0,20191112,20200626
0000000022019111320191130,1,1,1,1,1,1,0,20191113,20191130
0000000022019111420200626,1,1,1,1,1,1,0,20191114,20200626
0000000022019120120200329,1,1,1,1,1,1,0,20191201,20200329
0000000022019121520200626,1,1,1,1,1,1,0,20191215,20200626
0000000022019122320200411,1,1,1,1,1,1,0,20191223,20200411
0000000022020040120200626,1,1,1,1,1,1,0,20200401,20200626
0000000042019091220191214,1,1,1,1,1,0,0,20190912,20191214
0000000042019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000042019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000000042019092020200626,1,1,1,1,1,0,0,20190920,20200626
0000000042019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000000042019101020200626,1,1,1,1,1,0,0,20191010,20200626
0000000042019101420200626,1,1,1,1,1,0,0,20191014,20200626
0000000042019101920200626,1,1,1,1,1,0,0,20191019,20200626
0000000042019102220200626,1,1,1,1,1,0,0,20191022,20200626
0000000042019102820200626,1,1,1,1,1,0,0,20191028,20200626
0000000042019111120200626,1,1,1,1,1,0,0,20191111,20200626
0000000042019121520200626,1,1,1,1,1,0,0,20191215,20200626
0000000052019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000052019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000052019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000052019092120200626,1,1,1,1,1,1,0,20190921,20200626
0000000052019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000052019101620200626,1,1,1,1,1,1,0,20191016,20200626
0000000052019101920200626,1,1,1,1,1,1,0,20191019,20200626
0000000052019102220200626,1,1,1,1,1,1,0,20191022,20200626
0000000052019102420200626,1,1,1,1,1,1,0,20191024,20200626
0000000052019102820200626,1,1,1,1,1,1,0,20191028,20200626
0000000052019111120200626,1,1,1,1,1,1,0,20191111,20200626
0000000052019111220200626,1,1,1,1,1,1,0,20191112,20200626
0000000052019112520200626,1,1,1,1,1,1,0,20191125,20200626
0000000062019091220191117,1,1,1,1,1,0,0,20190912,20191117
0000000062019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000000062019091820200626,1,1,1,1,1,0,0,20190918,20200626
0000000062019091920200626,1,1,1,1,1,0,0,20190919,20200626
0000000062019092020200626,1,1,1,1,1,0,0,20190920,20200626
0000000062019092120200626,1,1,1,1,1,0,0,20190921,20200626
0000000062019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000000062019101420200626,1,1,1,1,1,0,0,20191014,20200626
0000000062019101920200626,1,1,1,1,1,0,0,20191019,20200626
0000000062019102120200626,1,1,1,1,1,0,0,20191021,20200626
0000000062019102220200626,1,1,1,1,1,0,0,20191022,20200626
0000000062019102420200626,1,1,1,1,1,0,0,20191024,20200626
0000000062019102820200626,1,1,1,1,1,0,0,20191028,20200626
0000000062019103120200626,1,1,1,1,1,0,0,20191031,20200626
0000000062019110620200626,1,1,1,1,1,0,0,20191106,20200626
0000000062019111120200626,1,1,1,1,1,0,0,20191111,20200626
0000000062019111820200626,1,1,1,1,1,0,0,20191118,20200626
0000000062019112520200626,1,1,1,1,1,0,0,20191125,20200626
0000000072019091120200626,0,0,0,0,0,0,1,20190911,20200626
0000000072019091220191214,0,0,0,0,0,0,1,20190912,20191214
0000000072019091220200626,0,0,0,0,0,0,1,20190912,20200626
0000000072019092020200626,0,0,0,0,0,0,1,20190920,20200626
0000000072019100820200626,0,0,0,0,0,0,1,20191008,20200626
0000000072019101920200626,0,0,0,0,0,0,1,20191019,20200626
0000000072019102020200626,0,0,0,0,0,0,1,20191020,20200626
0000000072019102420200626,0,0,0,0,0,0,1,20191024,20200626
0000000072019102820200626,0,0,0,0,0,0,1,20191028,20200626
0000000072019112420191208,0,0,0,0,0,0,1,20191124,20191208
0000000072019120120200329,0,0,0,0,0,0,1,20191201,20200329
0000000072019121520200626,0,0,0,0,0,0,1,20191215,20200626
0000000072019122120200329,0,0,0,0,0,0,1,20191221,20200329
0000000072019122220200329,0,0,0,0,0,0,1,20191222,20200329
0000000072019122320200329,0,0,0,0,0,0,1,20191223,20200329
0000000092019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000092019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000092019091920200626,1,1,1,1,1,1,0,20190919,20200626
0000000092019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000092019092120200626,1,1,1,1,1,1,0,20190921,20200626
0000000092019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000092019101620200626,1,1,1,1,1,1,0,20191016,20200626
0000000092019101920200626,1,1,1,1,1,1,0,20191019,20200626
0000000092019102220200626,1,1,1,1,1,1,0,20191022,20200626
0000000092019102820200626,1,1,1,1,1,1,0,20191028,20200626
0000000092019111120200626,1,1,1,1,1,1,0,20191111,20200626
0000000302019091220200626,0,0,0,0,0,0,0,20190912,20200626
0000000352019091220200626,0,0,0,0,0,0,0,20190912,20200626
0000000352019101920200626,0,0,0,0,0,0,0,20191019,20200626
0000000392019091220200626,0,1,0,1,0,1,0,20190912,20200626
0000000392019100220200626,0,1,0,1,0,1,0,20191002,20200626
0000000402019091220200626,0,0,0,0,1,0,0,20190912,20200626
0000000402019102820200626,0,0,0,0,1,0,0,20191028,20200626
0000000412019091220200626,0,0,1,0,0,0,0,20190912,20200626
0000000502019091220200626,0,0,0,1,0,0,0,20190912,20200626
0000000502019101420200626,0,0,0,1,0,0,0,20191014,20200626
0000000822019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000000822019092020200626,0,0,0,0,0,1,0,20190920,20200626
0000000822019092120200626,0,0,0,0,0,1,0,20190921,20200626
0000000822019101920200626,0,0,0,0,0,1,0,20191019,20200626
0000000822019102220200626,0,0,0,0,0,1,0,20191022,20200626
0000000822019102820200626,0,0,0,0,0,1,0,20191028,20200626
0000004512019091220191214,0,0,0,0,0,1,0,20190912,20191214
0000004512019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000004512019091220200626,0,0,0,0,0,1,0,20190912,20200626
