 "name" , "an" , "par" , "int" , "well" , "rest" , "latacc" , "lonacc" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Stadt Hotel Città" , "true" , "true" , "true" , "true" , "true" , "46.499" , "11.355" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Parkhotel Laurin" , "true" , "true" , "true" , "false" , "true" , "46.498" , "11.357" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Belvedere" , "true" , "true" , "true" , "false" , "true" , "46.532" , "11.339" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Regina" , "true" , "true" , "true" , "false" , "true" , "46.497" , "11.359" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Der Eggentaler" , "true" , "true" , "true" , "false" , "true" , "46.491" , "11.395" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Parkhotel Luna Mondschein" , "true" , "true" , "true" , "true" , "true" , "46.5" , "11.358" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Gardenhotel Premstaller" , "false" , "true" , "true" , "true" , "true" , "46.486" , "11.301" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Magdalener Hof" , "true" , "true" , "true" , "false" , "true" , "46.498" , "11.376" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Four Points Sheraton Bolzano Bozen" , "false" , "true" , "true" , "false" , "true" , "46.472" , "11.325" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Greif" , "true" , "true" , "true" , "false" , "true" , "46.498" , "11.356" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Eberle" , "true" , "true" , "true" , "false" , "true" , "46.503" , "11.369" ,  ,  ,  ,  ,  ,  ,  ,  ,
 "Hotel Figl ***S" , "false" , "true" , "true" , "false" , "true" , "46.499" , "11.355" ,  ,  ,  ,  ,  ,  ,  ,  ,
