 "name" , "time" , "from" , "to" , "length" ,  ,  ,  ,  ,  ,
 "E104_0" , "80" , "SERRADA" , "RIF. FINÓNCHIO 'FRATELLI FILZI'" , "4,430" ,  ,  ,  ,  ,  ,
 "E104_1" , "70" , "RIF. FINÓNCHIO 'FRATELLI FILZI'" , "SERRADA" , "4,430" ,  ,  ,  ,  ,  ,
 "E402B_0" , "10" , "VILLAMONTAGNA - CHIOGNA" , "PÉZ" , "690" ,  ,  ,  ,  ,  ,
 "E402B_1" , "10" , "PÉZ" , "VILLAMONTAGNA - CHIOGNA" , "690" ,  ,  ,  ,  ,  ,
 "E409A_0" , "20" , "POZZE" , "LAGABRÙN" , "770" ,  ,  ,  ,  ,  ,
 "E409A_1" , "15" , "LAGABRÙN" , "POZZE" , "770" ,  ,  ,  ,  ,  ,
 "E415A_0" , "40" , "PONCIÀCH" , "ZISE - bivio SI-E5" , "1,500" ,  ,  ,  ,  ,  ,
 "E415A_1" , "30" , "ZISE - bivio SI-E5" , "PONCIÀCH" , "1,500" ,  ,  ,  ,  ,  ,
 "E421A_0" , "20" , "VILLAMONTAGNA" , "PINETA DI CAMPÉL" , "880" ,  ,  ,  ,  ,  ,
 "E421A_1" , "15" , "PINETA DI CAMPÉL" , "VILLAMONTAGNA" , "880" ,  ,  ,  ,  ,  ,
 "E446B_0" , "30" , "BIVIO SS 349 - pr. Molini Valsorda" , "FORTE FORNAS" , "1,690" ,  ,  ,  ,  ,  ,
 "E446B_1" , "20" , "FORTE FORNAS" , "BIVIO SS 349 - pr. Molini Valsorda" , "1,690" ,  ,  ,  ,  ,  ,
 "E473_0" , "70" , "ALBIANO" , "LAGO DI SANTA COLOMBA" , "3,280" ,  ,  ,  ,  ,  ,
 "E473_1" , "60" , "LAGO DI SANTA COLOMBA" , "ALBIANO" , "3,280" ,  ,  ,  ,  ,  ,
 "E473A_0" , "40" , "QUOTA 894" , "PRA BROGERON" , "2,110" ,  ,  ,  ,  ,  ,
 "E473A_1" , "40" , "PRA BROGERON" , "QUOTA 894" , "2,110" ,  ,  ,  ,  ,  ,
 "E474A_0" , "45" , "PIAN DEL GACC" , "VERSANTE N DEL MONTE GÓRSA" , "1,970" ,  ,  ,  ,  ,  ,
 "E474A_1" , "35" , "VERSANTE N DEL MONTE GÓRSA" , "PIAN DEL GACC" , "1,970" ,  ,  ,  ,  ,  ,
 "E519A_0" , "50" , "FRATA o Roa" , "TAL CRISTO" , "2,430" ,  ,  ,  ,  ,  ,
 "E519A_1" , "40" , "TAL CRISTO" , "FRATA o Roa" , "2,430" ,  ,  ,  ,  ,  ,
 "E540_0" , "50" , "RIFUGIO CIAMPEDÌE" , "GARDECIA" , "2,870" ,  ,  ,  ,  ,  ,
 "E540_1" , "50" , "GARDECIA" , "RIFUGIO CIAMPEDÌE" , "2,870" ,  ,  ,  ,  ,  ,
 "E572_0" , "60" , "pr. MALGA VARENA - parcheggio" , "QUOTA 2020" , "2,910" ,  ,  ,  ,  ,  ,
 "E572_1" , "50" , "QUOTA 2020" , "pr. MALGA VARENA - parcheggio" , "2,910" ,  ,  ,  ,  ,  ,
 "E602A_0" , "15" , "PIAN DE LA STELES" , "OUTES DE CONTRIN" , "390" ,  ,  ,  ,  ,  ,
 "E602A_1" , "10" , "OUTES DE CONTRIN" , "PIAN DE LA STELES" , "390" ,  ,  ,  ,  ,  ,
 "E603A_0" , "10" , "pr. MALGA MONZONI" , "QUOTA 1839" , "620" ,  ,  ,  ,  ,  ,
 "E603A_1" , "10" , "QUOTA 1839" , "pr. MALGA MONZONI" , "620" ,  ,  ,  ,  ,  ,
 "E732_0" , "105" , "SIROR" , "DAGNOLI  - bivio 724 PPPSM" , "4,030" ,  ,  ,  ,  ,  ,
 "E732_1" , "80" , "DAGNOLI  - bivio 724 PPPSM" , "SIROR" , "4,030" ,  ,  ,  ,  ,  ,
 "E801A_0" , "35" , "SAGRON - GIANESEI" , "CASERE" , "1,820" ,  ,  ,  ,  ,  ,
 "E801A_1" , "25" , "CASERE" , "SAGRON - GIANESEI" , "1,820" ,  ,  ,  ,  ,  ,
 "O111A_0" , "20" , "PASSO DEL TONALE" , "OSPIZIO SAN BARTOLOMEO" , "1,250" ,  ,  ,  ,  ,  ,
 "O111A_1" , "15" , "OSPIZIO SAN BARTOLOMEO" , "PASSO DEL TONALE" , "1,250" ,  ,  ,  ,  ,  ,
 "O124B_0" , "20" , "pr. DIGA DI PIAN PALÙ" , "MALGA GIUMELA" , "720" ,  ,  ,  ,  ,  ,
 "O124B_1" , "15" , "MALGA GIUMELA" , "pr. DIGA DI PIAN PALÙ" , "720" ,  ,  ,  ,  ,  ,
 "O129B_0" , "50" , "QUOTA 1828" , "QUOTA 2036" , "1,120" ,  ,  ,  ,  ,  ,
 "O129B_1" , "40" , "QUOTA 2036" , "QUOTA 1828" , "1,120" ,  ,  ,  ,  ,  ,
 "O346A_0" , "30" , "QUOTA 956" , "ARCA DI FRAPORTE" , "950" ,  ,  ,  ,  ,  ,
 "O346A_1" , "20" , "ARCA DI FRAPORTE" , "QUOTA 956" , "950" ,  ,  ,  ,  ,  ,
