 "PoiName" , "vote" ,  ,  ,
 "Boutique Hotel Diana" , "9.7" ,  ,  ,
 "Palazzo Lodron Bertelli. Dimora Storica & Spa" , "9.7" ,  ,  ,
 "Garni Hotel Clara" , "9.6" ,  ,  ,
 "Gasthof Zum Löwen-Post" , "9.6" ,  ,  ,
 "Hotel Madonna" , "9.6" ,  ,  ,
 "Hotel Residence der Bircher" , "9.6" ,  ,  ,
 "Lagació Hotel Mountain Residence" , "9.6" ,  ,  ,
 "Monroc Hotel" , "9.6" ,  ,  ,
 "Terra - The Magic Place Relais & Châteaux" , "9.6" ,  ,  ,
 "The Panoramic Lodge" , "9.6" ,  ,  ,
 "Bühelwirt" , "9.5" ,  ,  ,
 "DV Chalet Boutique Hotel & Spa" , "9.5" ,  ,  ,
 "Dorfhotel Beludei" , "9.5" ,  ,  ,
 "Garni Maso San Michele" , "9.5" ,  ,  ,
 "Holiday IV Gardan" , "9.5" ,  ,  ,
 "Hotel Eden am Reschensee" , "9.5" ,  ,  ,
 "Hotel Garnì Caminetto" , "9.5" ,  ,  ,
 "Hotel Grones" , "9.5" ,  ,  ,
 "Hotel Monika" , "9.5" ,  ,  ,
 "Hotel Muchele" , "9.5" ,  ,  ,
