 "name" , "time" , "diff" ,  ,  ,  ,
 "E402B_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E402B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E602A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E603A_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E603A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E409A_1" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E421A_1" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E602A_0" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O111A_1" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O124B_1" , "15" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E409A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E421A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E446B_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O111A_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O124B_0" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O346A_1" , "20" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E801A_1" , "25" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E415A_1" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E446B_0" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O346A_0" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O406B_1" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O511B_1" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O526_0" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O526_1" , "30" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E474A_1" , "35" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E801A_0" , "35" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E415A_0" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E473A_0" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E473A_1" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E519A_1" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O129B_1" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O406B_0" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O511B_0" , "40" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E474A_0" , "45" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E519A_0" , "50" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E540_0" , "50" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E540_1" , "50" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E572_1" , "50" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O129B_0" , "50" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E473_1" , "60" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E572_0" , "60" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E104_1" , "70" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E473_0" , "70" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E104_0" , "80" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
